# N012. [NeuAc(a2-3) Gal(b1-4) GlcNAc(b1-2) Man(a1-3)] [[Man(a1-3)] [Man(a1-6)] Man(a1-6)] Man(b1-4) GlcNAc(b1-4) GlcNAc(b1-0)
# Deuterium
# Metal: Na
# Method: EED
# Permethylated
# Precursor: 2Na+ 1215.1034

m/z	z	I
1406.69832	1+	499394240
1415.67475	1+	18956546
1420.67775	1+	57563596
1424.62503	1+	16686114
1427.69794	1+	147844944
1433.70933	1+	32636836
1440.68046	1+	7913004
1442.69903	1+	11882758
1444.71544	1+	6118596
1445.67966	1+	14561794
1447.66472	1+	7297856
1448.71248	1+	33918008
1457.68794	1+	12295344
1459.70211	1+	21922418
1460.68061	1+	31269360
1461.72954	1+	7751970
1462.72675	1+	94102088
1467.67121	1+	23081372
1475.73321	1+	20768732
1476.6773	1+	18283738
1484.67942	1+	14362250
1486.72833	1+	11563971
1488.74005	1+	23203688
1489.70387	1+	25755024
1490.75173	1+	34472120
1491.67098	1+	20831264
1499.76538	1+	7167260
1501.71286	1+	28199676
1501.7783	1+	12512997
1503.72917	1+	31458352
1505.81828	15+	10046467
1506.75211	1+	34544952
1508.70844	1+	73771944
1518.7525	1+	44178004
1520.76677	1+	74035520
1523.69472	1+	10303294
1531.77098	1+	22736100
1534.78263	1+	112877616
1536.75939	1+	51992364
1541.70434	1+	68644208
1545.80228	1+	18280648
1546.82447	19+	5887237
1548.76189	1+	35501736
1550.77652	1+	242486928
1559.78257	1+	14416790
1561.73634	1+	14643835
1561.78988	1+	27975666
1564.79321	1+	480147744
1566.76681	1+	93333192
1572.75738	1+	22752480
1575.81192	1+	43339336
1577.77418	1+	31027098
1581.79512	1+	367268096
1586.77541	1+	15127359
1589.79525	1+	34716956
1590.76004	1+	17415752
1604.78361	1+	168844704
1610.79765	1+	460999008
1617.75572	1+	12477183
1620.80916	1+	30891422
1623.74267	1+	6288990
1631.79236	1+	27347508
1632.77477	1+	12044159
1633.74354	1+	5760013
1637.80872	1+	11867341
1645.77763	1+	8022247
1647.8371	1+	6685423
1648.77518	1+	30466296
1650.82744	1+	23341568
1651.82739	1+	9069325
1653.75241	1+	11012128
1659.33356	2+	5189322
1661.85287	1+	11228413
1663.79739	1+	11138499
1665.80868	1+	28320220
1671.76743	1+	65328828
1675.86607	1+	8131043
1679.86035	1+	16599393
1684.76763	1+	5459849
1689.77188	1+	8549585
1692.8668	1+	16378454
1693.76881	1+	23114500
1695.76335	1+	32958494
1705.87539	1+	35020692
1717.8753	1+	16509833
1720.87976	1+	29394362
1721.80091	1+	21829370
1723.88482	1+	29915704
1727.79206	1+	33065154
1733.86682	1+	33937864
1735.88411	1+	116470632
1737.89733	1+	164597584
1743.78786	1+	42099668
1748.88863	1+	50028196
1753.89523	1+	23140144
1759.81824	1+	47446780
1762.88929	1+	46855940
1765.89444	1+	138167168
1767.90588	1+	187793312
1770.85651	1+	90649000
1776.8813	1+	21283028
1779.90897	1+	265462832
1787.87597	1+	22019580
1793.39985	2+	22473238
1793.89093	1+	12978303
1795.9034	1+	184571680
1802.88209	1+	30612094
